protectedAreaName,nameAlias,protectedAreaType,state,wikipediaUrl,imageUrl,location,formed,area,notableFeatures,floraAndFauna,flora,fauna,riversAndLakes,landmarks
Campbell Bay National Park,,National Park,Andaman and Nicobar Islands,https://en.wikipedia.org/wiki/Campbell_Bay_National_Park,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Nicobar_Treeshrew_%28Tupaia_nicobarica_nicobarica%29.jpg/250px-Nicobar_Treeshrew_%28Tupaia_nicobarica_nicobarica%29.jpg?utm_source=en.wikipedia.org&utm_campaign=parser&utm_content=thumbnail,Great Nicobar Island,1992,,Part of Great Nicobar Biosphere Reserve,"Crab-eating macaque, Nicobar treeshrew",,,,
Galathea National Park,,National Park,Andaman and Nicobar Islands,https://en.wikipedia.org/wiki/Galathea_National_Park,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Adult_Nicobar_Pigeon.jpg/250px-Adult_Nicobar_Pigeon.jpg?utm_source=en.wikipedia.org&utm_campaign=parser&utm_content=thumbnail,Great Nicobar Island,1992,,Part of Great Nicobar Biosphere Reserve,"Giant robber crab, Nicobar pigeon, Megapode",,,Galathea River,
Mahatma Gandhi Marine National Park,Mahatma Gandhi Marine National Park(Wandoor),National Park,Andaman and Nicobar Islands,https://en.wikipedia.org/wiki/Mahatma_Gandhi_Marine_National_Park,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Jolly_Boys_Island_2010.jpg/250px-Jolly_Boys_Island_2010.jpg?utm_source=en.wikipedia.org&utm_campaign=parser&utm_content=thumbnail,Wandoor,1983,,,,,,,
Mount Harriet National Park,,National Park,Andaman and Nicobar Islands,https://en.wikipedia.org/wiki/Mount_Harriet_National_Park,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/View_from_Mt._Harriet.jpg/250px-View_from_Mt._Harriet.jpg?utm_source=en.wikipedia.org&utm_campaign=parser&utm_content=thumbnail,Mount Manipur854yoifg,1987,,Important bird area as attributed by BirdLife65g International The park is also a butterfly hotspot.,"Andaman wild pigs, saltwater crocodiles, turtles, robber crabs.",,,,
Rani Jhansi Marine National Park,,National Park,Andaman and Nicobar Islands,https://en.wikipedia.org/wiki/Rani_Jhansi_Marine_National_Park,,Ritchie's Archipelago,1996,,,,,,,
Saddle Peak National Park,,National Park,Andaman and Nicobar Islands,https://en.wikipedia.org/wiki/Saddle_Peak_National_Park,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Saddle_peak.jpg/250px-Saddle_peak.jpg?utm_source=en.wikipedia.org&utm_campaign=parser&utm_content=thumbnail,Saddle Peak,1987,,,,,,Kalpong Dam Reservoir,
North Button Island National Park,,National Park,Andaman and Nicobar Islands,https://en.wikipedia.org/wiki/North_Button_Island_National_Park,,Button Islands,,,,,,,,
Middle Button Island National Park,,National Park,Andaman and Nicobar Islands,https://en.wikipedia.org/wiki/Middle_Button_Island_National_Park,,Button Islands,,,,,,,,
South Button Island National Park,,National Park,Andaman and Nicobar Islands,https://en.wikipedia.org/wiki/South_Button_Island_National_Park,,Button Islands,,,,,,,,
Papikonda National Park,,National Park,Andhra Pradesh,https://en.wikipedia.org/wiki/Papikonda_National_Park,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Papikondalu_view_16.jpg/250px-Papikondalu_view_16.jpg?utm_source=en.wikipedia.org&utm_campaign=parser&utm_content=thumbnail,Near Rajamahendravaram,2008,,Important bird and biodiversity area by BirdLife International,"Royal Bengal Tiger, Leopards, rusty-spotted cat, King cobra .",,,Godavari River,
Rajiv Gandhi National Park (Rameswaram),,National Park,Andhra Pradesh,https://en.wikipedia.org/wiki/Rajiv_Gandhi_National_Park_(Rameswaram),,Near Rameswaram,2005,,,,,,Penna River,
Sri Venkateswara National Park,,National Park,Andhra Pradesh,https://en.wikipedia.org/wiki/Sri_Venkateswara_National_Park,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Andhra_Pradesh_-_Landscapes_from_Andhra_Pradesh%2C_views_from_Indias_South_Central_Railway_%2883%29.JPG/250px-Andhra_Pradesh_-_Landscapes_from_Andhra_Pradesh%2C_views_from_Indias_South_Central_Railway_%2883%29.JPG?utm_source=en.wikipedia.org&utm_campaign=parser&utm_content=thumbnail,"Near Tirumala, Seshachalam Hills and Tirumala Hills",1989,,,"Yellow-throated bulbul, White-rumped vulture",,,,
Mouling National Park,,National Park,Arunachal Pradesh,https://en.wikipedia.org/wiki/Mouling_National_Park,,Siang Valley,1986,483 Km2,Forms the western part of Dihang-Dibang biosphere reserve,"takin, goral, Indian leopard, Bengal tiger, barking deer, serow and red panda",,,Siyom River,
Namdapha National Park,,National Park,Arunachal Pradesh,https://en.wikipedia.org/wiki/Namdapha_National_Park,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Forest_snow_Namdapha_IMG_3373_04.jpg/250px-Forest_snow_Namdapha_IMG_3373_04.jpg?utm_source=en.wikipedia.org&utm_campaign=parser&utm_content=thumbnail,Near Miao,1983,1985 km2,part of Mizoram–Manipur–Kachin rain forests,"Sapria himalayana, Namdapha flying squirrel, red panda, dhole, Malayan sun bear, Indian wolf, Asiatic black bear, gaur, stump-tailed macaque, Assamese macaque, rhesus macaque.",,,Noa Dihing River,
Dibru-Saikhowa National Park,,National Park,Assam,https://en.wikipedia.org/wiki/Dibru-Saikhowa_National_Park,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Dibru_Saikhuwa_National_Park.jpg/250px-Dibru_Saikhuwa_National_Park.jpg?utm_source=en.wikipedia.org&utm_campaign=parser&utm_content=thumbnail,Near Tinsukia,1999,,Largest Swamp Forest in North-east India,"Feral horse, Wild water buffalo, Ganges river dolphin etc.",,,"Brahmaputra River, Lohit River, Dibru River",
Dehing Patkai National Park,Dihing Patkai National Park,National Park,Assam,https://en.wikipedia.org/wiki/Dehing_Patkai_National_Park,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Rufous-throated_Fulvetta_Dehing_Patkai_Assam_India_April_2019.jpg/250px-Rufous-throated_Fulvetta_Dehing_Patkai_Assam_India_April_2019.jpg?utm_source=en.wikipedia.org&utm_campaign=parser&utm_content=thumbnail,"Near Digboi, Margherita",2021,,Declared as reserve under Project Elephant and largest lowland forest in India,"White-winged duck, Slow loris",,,Dihing river,
Raimona National Park,,National Park,Assam,https://en.wikipedia.org/wiki/Raimona_National_Park,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/%E0%A7%B0%E0%A6%BE%E0%A6%87%E0%A6%AE%E0%A6%A8%E0%A6%BE_%E0%A7%B0%E0%A6%BE%E0%A6%B7%E0%A7%8D%E0%A6%9F%E0%A7%8D%E0%A7%B0%E0%A7%80%E0%A6%AF%E0%A6%BC_%E0%A6%89%E0%A6%A6%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%A8.jpg/250px-%E0%A7%B0%E0%A6%BE%E0%A6%87%E0%A6%AE%E0%A6%A8%E0%A6%BE_%E0%A7%B0%E0%A6%BE%E0%A6%B7%E0%A7%8D%E0%A6%9F%E0%A7%8D%E0%A7%B0%E0%A7%80%E0%A6%AF%E0%A6%BC_%E0%A6%89%E0%A6%A6%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%A8.jpg?utm_source=en.wikipedia.org&utm_campaign=parser&utm_content=thumbnail,Near Gossaigaon,2021,,Part of Eastern Himalayan Foothills,Gee's golden langur,,,Sankosh River,
Kaziranga National Park,,National Park,Assam,https://en.wikipedia.org/wiki/Kaziranga_National_Park,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Rhinos_in_KNP.jpg/250px-Rhinos_in_KNP.jpg?utm_source=en.wikipedia.org&utm_campaign=parser&utm_content=thumbnail,Near Kaliabor,1974,,"Declared as UNESCO World Heritage Site in 1985 Largest population of Indian Rhinoceros, wild water buffalo and Eastern Swamp Deer","Indian rhinoceros, Royal Bengal Tiger, Wild water buffalo, Asian elephant, Eastern Swamp Deer",,,"Brahmaputra River, Mora Dhiplu, Dhiplu, Mora Dhansiri",
Manas National Park,,National Park,Assam,https://en.wikipedia.org/wiki/Manas_National_Park,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Blue_hill.jpg/250px-Blue_hill.jpg?utm_source=en.wikipedia.org&utm_campaign=parser&utm_content=thumbnail,Near Barpeta Road,1990,,"Declared as UNESCO World Heritage Site in 1985 contiguous with Royal Manas National Park, Bhutan Also a biosphere reserve and Elephant reserve","Indian Elephants, Wild water Buffalo, Capped langur, Rare species such as,Assam roofed turtle, hispid hare, golden langur and pygmy hog",,,"Manas River, Beki River",
Nameri National Park,,National Park,Assam,https://en.wikipedia.org/wiki/Nameri_National_Park,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Landscape_of_Nameri_National_Park.jpg/250px-Landscape_of_Nameri_National_Park.jpg?utm_source=en.wikipedia.org&utm_campaign=parser&utm_content=thumbnail,NearBhalukpong,1998,,,"Dendrobium Orchid, Bengal Tiger, Clouded Leopard, Asian fairy-bluebird",,,"Kameng River, Other tributaries Nameri, Dinai, Diji etc.",
Orang National Park,,National Park,Assam,https://en.wikipedia.org/wiki/Orang_National_Park,,North bank of the Brahmaputra river,1999,,,"The Great Indian rhinoceros, pygmy hog, Asian elephant, wild water buffalo, Bengal tiger, hog deer, Gangetic dolphin, Indian pangolin",,,Dhanshiri river,
Sikhna Jwhwlao National Park,,National Park,Assam,https://en.wikipedia.org/wiki/Sikhna_Jwhwlao_National_Park,,Near Kokrajhar,2025,,,"Pygmy Hog, Hog deer, Indian crested porcupine, Asian elephant, Chinese Pangolin",,,Saralbhanga river,
Valmiki National Park,,National Park,Bihar,https://en.wikipedia.org/wiki/Valmiki_National_Park,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Himalayan_Foot_Hills%2C_Valmikinagar%2C_Bihar%2C_India.jpg/250px-Himalayan_Foot_Hills%2C_Valmikinagar%2C_Bihar%2C_India.jpg?utm_source=en.wikipedia.org&utm_campaign=parser&utm_content=thumbnail,"Near Valmiki Nagar, Bagaha",1978,,Home of Tharu people in India,"Bengal tiger, Indian gaur, Indian rhinoceros, Asian black bear, Indian elephant, Indian leopard",,,"Gandaki River, Sonha and Pachnad rivers, Burhi Gandak River, Pandai River etc.",
Guru Ghasidas - Tamor Pingla Tiger Reserve,Guru Ghasidas National Park(Sanjay),Tiger Reserve,Chhattisgarh,https://en.wikipedia.org/wiki/Guru_Ghasidas_-_Tamor_Pingla_Tiger_Reserve,,"Near Ambikapur, Manendragarh, Chirimiri",1981,,Largest national park of Chhattisgarh,,,,,
Indravati National Park,Indravati National Park(Kutru),National Park,Chhattisgarh,https://en.wikipedia.org/wiki/Indravati_National_Park,https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Kotri_river_at_Bhamragad.jpg/250px-Kotri_river_at_Bhamragad.jpg?utm_source=en.wikipedia.org&utm_campaign=parser&utm_content=thumbnail,Near Dantewada,1982,,,"Wild Buffaloes, Tigers, Hill Mynas",,,Indravati River,
Kanger Ghati National Park,,National Park,Chhattisgarh,https://en.wikipedia.org/wiki/Kanger_Ghati_National_Park,https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Kanger_valley_National_Park.png/250px-Kanger_valley_National_Park.png?utm_source=en.wikipedia.org&utm_campaign=parser&utm_content=thumbnail,Near Jagdalpur,1982,,,Indoreonectes evezardi,,,,
Mollem National Park,,National Park,Goa,https://en.wikipedia.org/wiki/Mollem_National_Park,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Dudhsagar_Falls_Triplet.jpg/250px-Dudhsagar_Falls_Triplet.jpg?utm_source=en.wikipedia.org&utm_campaign=parser&utm_content=thumbnail,Near Molem,1978,,Famous Dudhsagar Falls located in it and also the Mahadev Temple of Kadamba architecture is also located inside of it,,,,,
"Blackbuck National Park, Velavadar",Blackbuck National Park(Velavadar),National Park,Gujarat,"https://en.wikipedia.org/wiki/Blackbuck_National_Park,_Velavadar",https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Blackbucks_in_Blackbuck_National_Park_05.jpg/250px-Blackbucks_in_Blackbuck_National_Park_05.jpg?utm_source=en.wikipedia.org&utm_campaign=parser&utm_content=thumbnail,"Near Bhavnagar, Vallabhipur, Dholera, Dhandhuka",1976,,"A grassland ecosystem for conservation of Blackbuck, Lesser florican Successful conservation programs for the blackbuck, wolf and lesser florican, bustard","Blackbucks, Indian grey wolf, striped hyena, Bengal fox, golden jackal, jungle cat and many other small mammals",,,,
