"orderNumber","notificationDate","protectedAreaName","wikidataId","archiveLink","archiveMatchMethod","archiveIdentifier","archiveCollection","archiveCreator","archiveDate","archiveMinistry","archiveDepartment","archiveSubject","archiveGazetteSource","allmaps images","toposheet page","toposheet thumbnail","allmaps editor","tms"
"S .O. No. 100(E)","2025-01-06","Pangolakha Wildlife Sanctuary","Q16896392","https://archive.org/details/in.gazette.central.e.2025-01-06.260003","description","in.gazette.central.e.2025-01-06.260003","gazetteofindia;JaiGyan","Government of India","2025-01-06","Ministry of Environment, Forest and Climate Change","ESZ Division","Amendment of ESZ around Pangolakha Wildlife Sanctuary Sikkim","https://egazette.gov.in/WriteReadData/2025/260003.pdf",,,,,
"S .O. No. 115(E)","2025-01-07","Melukote Wildlife Sanctuary","Q137699195","https://archive.org/details/in.gazette.central.e.2025-01-07.260073","description","in.gazette.central.e.2025-01-07.260073","gazetteofindia;JaiGyan","Government of India","2025-01-07","Ministry of Environment, Forest and Climate Change","ESZ Division","Amendment of ESZ around Melukote Wildlife Sanctuary Karnataka","https://egazette.gov.in/WriteReadData/2025/260073.pdf",,,,,
"S .O. No. 148(E)","2025-01-08","Khol Hi Raitan Wildlife Sanctuary","Q17002860","https://archive.org/details/in.gazette.central.e.2025-01-08.260074","description","in.gazette.central.e.2025-01-08.260074","gazetteofindia;JaiGyan","Government of India","2025-01-08","Ministry of Environment, Forest and Climate Change","ESZ Division","Amendment of ESZ around Khol Hi Raitan Wildlife Sanctuary Haryana","https://egazette.gov.in/WriteReadData/2025/260074.pdf",,,,,
"S .O. No. 150(E)","2025-01-09","Bir Dosanjh Wildlife Sanctuary","WIKIPEDIA:punjab:bir-dosanjh-wildlife-sanctuary","https://archive.org/details/in.gazette.central.e.2025-01-09.260088","description","in.gazette.central.e.2025-01-09.260088","gazetteofindia;JaiGyan","Government of India","2025-01-09","Ministry of Environment, Forest and Climate Change","ESZ Division","Amendment in the final notification of Bir Dosanjh Wildlife Sanctuary in the state of Punjab","https://egazette.gov.in/WriteReadData/2025/260088.pdf",,,,,
"S .O. No. 17(E)","2024-12-31","Rajiv Gandhi National Park","Q96401141","NONE",,,,,,,,,,,,,,
"S .O. No. 191(E)","2025-01-10","Bhindawas Wildlife Sanctuary","Q16155392","https://archive.org/details/in.gazette.central.e.2025-01-10.260140","description","in.gazette.central.e.2025-01-10.260140","gazetteofindia;JaiGyan","Government of India","2025-01-10","Ministry of Environment, Forest and Climate Change","ESZ Division","Amendment of ESZ around Bhindawas Wildlife Sanctuary Haryana","https://egazette.gov.in/WriteReadData/2025/260140.pdf",,,,,
"S .O. No. 3249(E)","2024-08-12","Daranghati Wildlife Sanctuary","Q5222092","https://archive.org/details/in.gazette.central.e.2024-08-12.256322","description","in.gazette.central.e.2024-08-12.256322","gazetteofindia;JaiGyan","Government of India","2024-08-12","Ministry of Environment, Forest and Climate Change","ESZ Division","AMENDMENT OF THE ESZ AROUND DARANGHATI WILDLIFE SANCTUARY HIMACHAL PRADESH","https://egazette.gov.in/WriteReadData/2024/256322.pdf",,,,,
"S .O. No. 3445(E)","2024-08-13","Jaikawadi Bird Sanctuary","Q23581251","NONE",,,,,,,,,,,,,,
"S .O. No. 3452(E)","2024-08-13","Balukhand-Konark WLS","Q18110145","NONE",,,,,,,,,,,,,,
"S .O. No. 3456(E)","2024-08-13","Painganga Wildlife Sanctuary","Q113396038","NONE",,,,,,,,,,,,,,
"S .O. No. 3548 (E)","2024-08-21","Bhagwan Mahaveer Wildlife Sanctuary","Q2397554","NONE",,,,,,,,,,,,,,
"S .O. No. 3549(E)","2024-08-21","Ghugua Fossil National Park",,"NONE",,,,,,,,,,,,,,
"S .O. No. 3584(E)","2024-08-22","Son Gharial Wildlife Sanctuary","Q132126728","NONE",,,,,,,,,,,,,,
"S .O. No. 3591(E)","2024-08-23","Chandaka Dampara Wildlife Sanctuary",,"NONE",,,,,,,,,,,,,,
"S .O. No. 3739(E)","2024-09-02","Melghat Tiger Reserve","Q2429161","https://archive.org/details/in.gazette.central.e.2024-09-02.256858","description","in.gazette.central.e.2024-09-02.256858","gazetteofindia;JaiGyan","Government of India","2024-09-02","Ministry of Environment, Forest and Climate Change","ESZ Division","Amendment in Final Notification of ESZ around Melghat Tiger Reserve Maharashtra","https://egazette.gov.in/WriteReadData/2024/256858.pdf",,,,,
"S .O. No. 3740(E)","2024-09-02","Dr. Salim Ali Bird Sanctuary","Q4806672","https://archive.org/details/in.gazette.central.e.2024-09-02.256859","description","in.gazette.central.e.2024-09-02.256859","gazetteofindia;JaiGyan","Government of India","2024-09-02","Ministry of Environment, Forest and Climate Change","ESZ Division","Amendment in ESZ around Dr Salim Ali Bird Sanctuary Goa","https://egazette.gov.in/WriteReadData/2024/256859.pdf",,,,,
"S .O. No. 3754(E)","2024-09-03","Madei WLS","Q6826847","NONE",,,,,,,,,,,,,,
"S .O. No. 3819(E)","2024-09-05","Gautala Autramghat Wildlife Sanctuary","Q5527862","https://archive.org/details/in.gazette.central.e.2024-09-05.256940","description","in.gazette.central.e.2024-09-05.256940","gazetteofindia;JaiGyan","Government of India","2024-09-05","Ministry of Environment, Forest and Climate Change","ESZ Division","Amendment in Final Notification of ESZ around Gautala Autramghat Wildlife Sanctuary Maharashtra","https://egazette.gov.in/WriteReadData/2024/256940.pdf",,,,,
"S .O. No. 3831(E)","2024-09-06","Bhimbandh Wildlife Sanctuary","Q15198953","https://archive.org/details/in.gazette.central.e.2024-09-06.256983","description","in.gazette.central.e.2024-09-06.256983","gazetteofindia;JaiGyan","Government of India","2024-09-06","Ministry of Environment, Forest and Climate Change","ESZ Division","Amendment Final notification of Bhimbandh Wildlife Sanctuary Bihar","https://egazette.gov.in/WriteReadData/2024/256983.pdf","https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2024-09-06.256983/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
"S .O. No. 3831(E)","2024-09-06","Bhimbandh Wildlife Sanctuary,","Q15198953",,,,,,,,,,,,,,,
"S .O. No. 3880(E)","2024-09-10","Zeilad Wildlife Sanctuary","WIKIPEDIA:manipur:zeilad-wildlife-sanctuary","https://archive.org/details/in.gazette.central.e.2024-09-10.257064","description","in.gazette.central.e.2024-09-10.257064","gazetteofindia;JaiGyan","Government of India","2024-09-10","Ministry of Environment, Forest and Climate Change","ESZ Division","AMENDMENT IN ESZ AROUND ZEILAD WILDLIFE SANCTUARY MANIPUR","https://egazette.gov.in/WriteReadData/2024/257064.pdf",,,,,
"S .O. No. 3943(E)","2024-09-13","Gandhi Sagar Wildlife Sanctuary","Q5520717","https://archive.org/details/in.gazette.central.e.2024-09-13.257167","description","in.gazette.central.e.2024-09-13.257167","gazetteofindia;JaiGyan","Government of India","2024-09-13","Ministry of Environment, Forest and Climate Change","ESZ Division","Amendment in ESZ around Gandhi Sagar Wildlife Sanctuary Madhya Pradesh","https://egazette.gov.in/WriteReadData/2024/257167.pdf",,,,,
"S .O. No. 3956(E)","2024-09-06","Tipeshwar Wildlife Sanctuary","Q106673573","NONE",,,,,,,,,,,,,,
"S .O. No. 4274(E)","2024-10-01","Bunning Wildlife Sanctuary","WIKIPEDIA:manipur:bunning-wildlife-sanctuary","https://archive.org/details/in.gazette.central.e.2024-10-01.257670","description","in.gazette.central.e.2024-10-01.257670","gazetteofindia;JaiGyan","Government of India","2024-10-01","Ministry of Environment, Forest and Climate Change","ESZ Division","Amendment in Notification of ESZ around Bunning Wildlife Sanctuary Manipur","https://egazette.gov.in/WriteReadData/2024/257670.pdf",,,,,
"S .O. No. 4331(E)","2024-10-03","Gangewadi New Great Indian Bustard Sanctuary","Q5599356","NONE",,,,,,,,,,,,,,
"S .O. No. 4337(E)","2024-10-04","Baraila Lake Salim Ali Jubba Sahni Bird Sanctuary","Q130974238","NONE",,,,,,,,,,,,,,
"S .O. No. 4343(E)","2024-10-07","Talacauvery Wildlife Sanctuary","Q7678819","https://archive.org/details/in.gazette.central.e.2024-10-07.257745","description","in.gazette.central.e.2024-10-07.257745","gazetteofindia;JaiGyan","Government of India","2024-10-07","Ministry of Environment, Forest and Climate Change","ESZ Division","AMENDMENT OF ESZ AROUND TALACAUVERY WILDLIFE SANCTUARY KARNATAKA","https://egazette.gov.in/WriteReadData/2024/257745.pdf",,,,,
"S .O. No. 4366(E)","2024-10-08","Bhimashankar Wildlife","Q854971","https://archive.org/details/in.gazette.central.e.2024-10-08.257836","description","in.gazette.central.e.2024-10-08.257836","gazetteofindia;JaiGyan","Government of India","2024-10-08","Ministry of Environment, Forest and Climate Change","ESZ Division","Amendment of ESZ around Bhimashankar Wildlife Sanctuary Maharashtra","https://egazette.gov.in/WriteReadData/2024/257836.pdf",,,,,
"S .O. No. 4382(E)","2024-10-09","Chaparala Wildlife Santuary","Q99342657","NONE",,,,,,,,,,,,,,
"S .O. No. 4386(E)","2024-10-09","Barnawapara Wildlife Sanctuary","Q104879966","https://archive.org/details/in.gazette.central.e.2024-10-09.257796","description","in.gazette.central.e.2024-10-09.257796","gazetteofindia;JaiGyan","Government of India","2024-10-09","Ministry of Environment, Forest and Climate Change","ESZ Division","Amendment of ESZ around Barnawapara Wildlife Sanctuary Chhattisgarh","https://egazette.gov.in/WriteReadData/2024/257796.pdf",,,,,
"S .O. No. 4530(E)","2024-10-15","Kitam Bird Sanctuary","Q106257541","https://archive.org/details/in.gazette.central.e.2024-10-15.257980","description","in.gazette.central.e.2024-10-15.257980","gazetteofindia;JaiGyan","Government of India","2024-10-15","Ministry of Environment, Forest and Climate Change","ESZ Division","AMENDMENT OF ESZ AROUND KITAM BIRD SANCTUARY SIKKIM","https://egazette.gov.in/WriteReadData/2024/257980.pdf",,,,,
"S .O. No. 4546(E)","2024-10-16","Bir Aishwan WLS","Q135798492","NONE",,,,,,,,,,,,,,
"S .O. No. 4548(E)","2024-10-16","Pocharam Wildlife Sanctuary","Q7206319","https://archive.org/details/in.gazette.central.e.2024-10-16.257990","description","in.gazette.central.e.2024-10-16.257990","gazetteofindia;JaiGyan","Government of India","2024-10-16","Ministry of Environment, Forest and Climate Change","ESZ Division","Amendment of ESZ around Pocharam Wildlife Sanctuary Telangana","https://egazette.gov.in/WriteReadData/2024/257990.pdf",,,,,
"S .O. No. 4554(E)","2024-10-17","Anerdam Wildlife Sanctuary","Q107404544","NONE",,,,,,,,,,,,,,
"S .O. No. 4554(E)","2024-10-17","Zone around Anerdam Wildlife Sanctuary, Maharashtra",,,,,,,,,,,,,,,,
"S .O. No. 4572(E)","2024-10-18","Nalsarovar Bird Sanctuary","Q2723560","https://archive.org/details/in.gazette.central.e.2024-10-18.258077","description","in.gazette.central.e.2024-10-18.258077","gazetteofindia;JaiGyan","Government of India","2024-10-18","Ministry of Environment, Forest and Climate Change","ESZ Division","Amendment of ESZ around NalSarovar Bird Sanctuary Gujarat","https://egazette.gov.in/WriteReadData/2024/258077.pdf",,,,,
"S .O. No. 5383(E)","2024-12-13","Gautam Buddha Wildlife Sanctuary","Q18343586","https://archive.org/details/in.gazette.central.e.2024-12-13.259436","description","in.gazette.central.e.2024-12-13.259436","gazetteofindia;JaiGyan","Government of India","2024-12-13","Ministry of Environment, Forest and Climate Change","ESZ Division","Amendment of ESZ around Gautam Buddha Wildlife Sanctuary Bihar","https://egazette.gov.in/WriteReadData/2024/259436.pdf",,,,,
"S .O. No. 5441(E)","2024-12-16","Tadoba Tiger National Park Andhari","Q2639563","NONE",,,,,,,,,,,,,,
"S .O. No. 5468(E)","2024-12-18","Sanjay National Park","Q3092341","https://archive.org/details/in.gazette.central.e.2024-12-18.259519","description","in.gazette.central.e.2024-12-18.259519","gazetteofindia;JaiGyan","Government of India","2024-12-18","Ministry of Environment, Forest and Climate Change","ESZ Division","Amendment of ESZ around Sanjay National Park and Sanjay Dubri Wildlife Sanctuary Madhya Pradesh","https://egazette.gov.in/WriteReadData/2024/259519.pdf",,,,,
"S .O. No. 5468(E)","2024-12-18","Sanjay Dubari Wildlife Sanctuary",,"https://archive.org/details/in.gazette.central.e.2024-12-18.259519","description","in.gazette.central.e.2024-12-18.259519","gazetteofindia;JaiGyan","Government of India","2024-12-18","Ministry of Environment, Forest and Climate Change","ESZ Division","Amendment of ESZ around Sanjay National Park and Sanjay Dubri Wildlife Sanctuary Madhya Pradesh","https://egazette.gov.in/WriteReadData/2024/259519.pdf",,,,,
"S .O. No. 5468(E)","2024-12-18","Sanjay National Park and Sanjay Dubari Wildlife Sanctuary",,,,,,,,,,,,,,,,
"S .O. No. 5494(E)","2024-12-19","Gudavi Bird Sanctuary","Q5614543","https://archive.org/details/in.gazette.central.e.2024-12-19.259540","description","in.gazette.central.e.2024-12-19.259540","gazetteofindia;JaiGyan","Government of India","2024-12-19","Ministry of Environment, Forest and Climate Change","ESZ Division","Amendment of ESZ around Gudavi Bird Sanctuary Karnataka","https://egazette.gov.in/WriteReadData/2024/259540.pdf",,,,,
"S .O. No. 5510(E)","2024-12-20","Udaipur Wildlife Sanctuary","Q18355976","https://archive.org/details/in.gazette.central.e.2024-12-20.259562","description","in.gazette.central.e.2024-12-20.259562","gazetteofindia;JaiGyan","Government of India","2024-12-20","Ministry of Environment, Forest and Climate Change","ESZ Division","Amendment of ESZ around Udaipur Wildlife Sanctuary Bihar","https://egazette.gov.in/WriteReadData/2024/259562.pdf",,,,,
"S .O. No. 5534(E)","2024-12-23","Chhilchhila Wildlife Sanctuary","Q17003846","https://archive.org/details/in.gazette.central.e.2024-12-23.259623","description","in.gazette.central.e.2024-12-23.259623","gazetteofindia;JaiGyan","Government of India","2024-12-23","Ministry of Environment, Forest and Climate Change","ESZ Division","Amendment of ESZ around Chhilchhila Wildlife Sanctuary Hariyana","https://egazette.gov.in/WriteReadData/2024/259623.pdf",,,,,
"S. O. 252(E)","2016-01-18","Pamed Wildlife Sanctuary","Q130974386","NONE",,,,,,,,,,,,,,
"S. O. 3307 (E)","2016-10-26","Kailam WLS","WIKIPEDIA:manipur:kailam-wildlife-sanctuary","https://archive.org/details/in.gazette.central.e.2016-10-26.172378","description","in.gazette.central.e.2016-10-26.172378","gazetteofindia;JaiGyan","Government of India","2016-10-26","Ministry of Environment, Forests and Climate Change","Not Applicable","Whereas, a draft notification was published in the Gazette of India, Extraordinary, vide notification of the Government",,"https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2016-10-26.172378/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
"S. O. 3308","2016-10-26","Khol Hi Raitan Wildlife Sanctuary","Q17002860","https://archive.org/details/in.gazette.central.e.2016-10-26.172388","description","in.gazette.central.e.2016-10-26.172388","gazetteofindia;JaiGyan","Government of India","2016-10-26","Ministry of Environment, Forests and Climate Change","Not Applicable","WHEREAS a draft notification was published in the Gazette of India Extraordinary vide notification of the Government of the India in the Ministry of Environment",,"https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2016-10-26.172388/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
"S. O. 3309","2016-10-26","Zeilad WLS","WIKIPEDIA:manipur:zeilad-wildlife-sanctuary","https://archive.org/details/in.gazette.central.e.2016-10-26.172384","description","in.gazette.central.e.2016-10-26.172384","gazetteofindia;JaiGyan","Government of India","2016-10-26","Ministry of Environment, Forests and Climate Change","Not Applicable","WHEREAS a draft notification was published in the Gazette of India Extraordinary vide notification of the Government of the India in the Ministry of Environment",,"https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2016-10-26.172384/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
"S. O. 3310","2016-10-26","Yangoupokpi Lokchao Wildlife Sanctuary","Q110460281","https://archive.org/details/in.gazette.central.e.2016-10-26.172391","description","in.gazette.central.e.2016-10-26.172391","gazetteofindia;JaiGyan","Government of India","2016-10-26","Ministry of Environment, Forests and Climate Change","Not Applicable","WHEREAS a draft notification was published in the Gazette of India Extraordinary vide notification of the Government of the India in the Ministry of Environment",,"https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2016-10-26.172391/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
"S. O. 3312","2016-10-26","Neora Valley National Park","Q2985788","https://archive.org/details/in.gazette.central.e.2016-10-26.172406","description","in.gazette.central.e.2016-10-26.172406","gazetteofindia;JaiGyan","Government of India","2016-10-26","Ministry of Environment, Forests and Climate Change","Not Applicable","The following draft of the notification which the Central Government proposes to issue in exercise of the powers conferred by sub section",,"https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2016-10-26.172406/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp","21","https://iiif.archive.org/image/iiif/3/in.gazette.central.e.2016-10-26.172406%2F172406_jp2.zip%2F172406_jp2%2F172406_0021.jp2/full/200,/0/default.jpg","https://editor.allmaps.org/georeference?url=https%3A%2F%2Fiiif.archive.org%2Fiiif%2Fin.gazette.central.e.2016-10-26.172406%2Fmanifest.json&bg-preset=osm&bg-url=https%3A%2F%2Findianopenmaps.fly.dev%2Fsoi%2Fosm%2F%7Bz%7D%2F%7Bx%7D%2F%7By%7D.webp&image=https%3A%2F%2Fiiif.archive.org%2Fimage%2Fiiif%2F3%2Fin.gazette.central.e.2016-10-26.172406%252F172406_jp2.zip%252F172406_jp2%252F172406_0021.jp2","https://allmaps.xyz/images/d89ec56434784341/{z}/{x}/{y}@2x.png"
"S. O. 3313","2016-10-26","Bir Aishwan WLS","Q135798492","https://archive.org/details/in.gazette.central.e.2016-10-26.172382","description","in.gazette.central.e.2016-10-26.172382","gazetteofindia;JaiGyan","Government of India","2016-10-26","Ministry of Environment, Forests and Climate Change","Not Applicable","WHEREAS a draft notification was published in the Gazette of India Extraordinary vide notification of the Government of the India in the Ministry of Environment",,"https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2016-10-26.172382/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
"S. O. 350 (E)","2017-02-06","Bir Mehas WLS","WIKIPEDIA:punjab:bir-mehaswala-wildlife-sanctuary","https://archive.org/details/in.gazette.central.e.2017-02-06.174040","description","in.gazette.central.e.2017-02-06.174040","gazetteofindia;JaiGyan","Government of India","2017-02-06","Ministry of Environment, Forests and Climate Change","Not Applicable","WHEREAS a draft notification was published in the Gazette of India Extraordinary Part II Section 3 sub section ii vide notification of the Government of the India in the Ministry of Environment",,"https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2017-02-06.174040/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
"S. O. 351 (E)","2017-02-06","Jessore WLS","Q6187899","https://archive.org/details/in.gazette.central.e.2017-02-06.174044","description","in.gazette.central.e.2017-02-06.174044","gazetteofindia;JaiGyan","Government of India","2017-02-06","Ministry of Environment, Forests and Climate Change","Not Applicable","The following draft of the notification which the Central Government proposes to issue in exercise of the powers conferred by sub section",,"https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2017-02-06.174044/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
"S. O. 4029 (E)","2016-12-14","Gandhi Sagar WLS","Q5520717","https://archive.org/details/in.gazette.central.e.2016-12-14.173149","description","in.gazette.central.e.2016-12-14.173149","gazetteofindia;JaiGyan","Government of India","2016-12-14","Ministry of Environment, Forests and Climate Change","Not Applicable","Notification of the Government of the India in the Ministry of Environment Forest and Climate Change number",,"https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2016-12-14.173149/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
"S. O. 435","2017-02-14","Sajjangarh Wildlife Sanctuary","Q65068086","https://archive.org/details/in.gazette.central.e.2017-02-14.174178","description","in.gazette.central.e.2017-02-14.174178","gazetteofindia;JaiGyan","Government of India","2017-02-14","Ministry of Environment, Forests and Climate Change","Not Applicable","WHEREAS a draft notification was published in the Gazette of India Extraordinary vide notification of the Government of the India in the Ministry of Environment Forest and Climate Change number",,"https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2017-02-14.174178/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
"S. O. 436","2017-02-14","Chhilchhila Wildlife Sanctuary","Q17003846","https://archive.org/details/in.gazette.central.e.2017-02-14.174180","description","in.gazette.central.e.2017-02-14.174180","gazetteofindia;JaiGyan","Government of India","2017-02-14","Ministry of Environment, Forests and Climate Change","Not Applicable","Whereas a draft notification was published in the Gazette of India Extraordinary vide notification of the Government of the India in the Ministry of Environment",,"https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2017-02-14.174180/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
"S. O. 437","2017-02-14","Veerangana Durgawati WLS","Q48731965","https://archive.org/details/in.gazette.central.e.2017-02-14.174183","description","in.gazette.central.e.2017-02-14.174183","gazetteofindia;JaiGyan","Government of India","2017-02-14","Ministry of Environment, Forests and Climate Change","Not Applicable","The following draft of the notification which the Central Government proposes to issue in exercise of the powers",,"https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2017-02-14.174183/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
"S. O. 668(E)","2017-02-28","Lonar WLS","Q107224583","https://archive.org/details/in.gazette.central.e.2017-02-28.174560","description","in.gazette.central.e.2017-02-28.174560","gazetteofindia;JaiGyan","Government of India","2017-02-28","Ministry of Environment, Forests and Climate Change","Not Applicable","WHEREAS a draft notification was published in the Gazette of India Extraordinary vide notification of the Government of the India in the Ministry of Environment",,"https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2017-02-28.174560/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
"S. O. 67 (E)","2017-01-10","Singalila National Park","Q2985193","https://archive.org/details/in.gazette.central.e.2017-01-10.173567","description","in.gazette.central.e.2017-01-10.173567","gazetteofindia;JaiGyan","Government of India","2017-01-10","Ministry of Environment, Forests and Climate Change","Not Applicable","The following draft of the notification, which the Central Government proposes to issue in exercise of the powers",,"https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2017-01-10.173567/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
"S. O. 68 (E)","2017-01-10","Khaparwas Wildlife","Q17005614","https://archive.org/details/in.gazette.central.e.2017-01-10.173559","description","in.gazette.central.e.2017-01-10.173559","gazetteofindia;JaiGyan","Government of India","2017-01-10","Ministry of Environment, Forests and Climate Change","Not Applicable","WHEREAS a draft notification was published in the Gazette of India Extraordinary vide notification of the Government of the India in the Ministry of Environment Forest and Climate Change",,"https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2017-01-10.173559/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
"S. O. 69 (E)","2017-01-10","Bird Sanctuary Union Territory","Q21997171","https://archive.org/details/in.gazette.central.e.2017-01-10.173572","description","in.gazette.central.e.2017-01-10.173572","gazetteofindia;JaiGyan","Government of India","2017-01-10","Ministry of Environment, Forests and Climate Change","Not Applicable","WHEREAS a draft notification was published in the Gazette of India Extraordinary vide notification of the Government of the India in the Ministry of Environment",,"https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2017-01-10.173572/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
"S.O 1440(E)","2016-04-19","Kanawar Wildlife Sanctuary","Q16948098","https://archive.org/details/in.gazette.central.e.2016-04-19.169233","description","in.gazette.central.e.2016-04-19.169233","gazetteofindia;JaiGyan","Government of India","2016-04-19","Ministry of Environment, Forests and Climate Change","Not Applicable","The following draft of the notification, which the Central Government proposes to issue in exercise of the powers conferred by sub section",,"https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2016-04-19.169233/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
"S.O 1441(E)","2016-04-19","Kais Wildlife Sanctuary","WIKIPEDIA:himachal-pradesh:kais-wildlife-sanctuary","https://archive.org/details/in.gazette.central.e.2016-04-19.169235","description","in.gazette.central.e.2016-04-19.169235","gazetteofindia;JaiGyan","Government of India","2016-04-19","Ministry of Environment, Forests and Climate Change","Not Applicable","The following draft of the notification which the Central Government proposes to issue in exercise of the powers conferred by sub section",,"https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2016-04-19.169235/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
"S.O 1485","2016-04-22","Kalesar Wildlife Sanctuary","Q2985156","https://archive.org/details/in.gazette.central.e.2016-04-22.169183","title","in.gazette.central.e.2016-04-22.169183","gazetteofindia;JaiGyan","Government of India","2016-04-22","Ministry of Environment, Forests and Climate Change","Not Applicable","Whereas, a draft notification was published in the Gazette of India, Extraordinary, vide notification of the Government of India in the Ministry of Environment, Forest and Climate Change number",,"https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2016-04-22.169183/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
"S.O 1498(E)","2016-04-26","Union Territory of Andaman and Nicobar Islands",,"https://archive.org/details/in.gazette.central.e.2016-04-26.169254","title","in.gazette.central.e.2016-04-26.169254","gazetteofindia;JaiGyan","Government of India","2016-04-26","Ministry of Environment, Forests and Climate Change","Not Applicable","The following draft of the notification, which the Central Government proposes to issue in exercise of the powers conferred by subsection 1, clause v and clause xvi of subsection 2 of section 3 of the Environment Protection Act",,"https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2016-04-26.169254/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
"S.O 1498(E)","2016-04-26","Rani Jhansi Marine National Park","Q1544313",,,,,,,,,,,,,,,
"S.O 1498(E)","2016-04-26","North Button Island National Park","Q3364468",,,,,,,,,,,,,,,
"S.O 1498(E)","2016-04-26","Middle Button Island National Park","Q3364465",,,,,,,,,,,,,,,
"S.O 1498(E)","2016-04-26","South Button Island National Park","Q770855",,,,,,,,,,,,,,,
"S.O 1498(E)","2016-04-26","Arial Wildlife Sanctuary","Q140306443",,,,,,,,,,,,,,,
"S.O 1498(E)","2016-04-26","Bamboo Wildlife Sanctuary","Q135350428",,,,,,,,,,,,,,,
"S.O 1498(E)","2016-04-26","Barren Wildlife Sanctuary",,,,,,,,,,,,,,,,
"S.O 1498(E)","2016-04-26","Batti Malv Wildlife Sanctuary",,,,,,,,,,,,,,,,
"S.O 1498(E)","2016-04-26","Belle Wildlife Sanctuary",,,,,,,,,,,,,,,,
